predictor,period,seed
0,2012Q1,206
0,2011Q4,161
0,2013Q3,93
0,2011Q3,486
0,2012Q4,431
1,2013Q1,275
1,2010Q4,112
0,2010Q4,22
1,2013Q4,442
1,2013Q4,43
1,2013Q4,324
1,2010Q3,393
1,2010Q2,180
0,2012Q3,87
0,2010Q1,319
0,2012Q4,357
0,2011Q4,36
0,2012Q2,448
0,2013Q4,71
0,2011Q2,118
1,2010Q3,19
0,2010Q2,231
1,2010Q3,378
1,2011Q1,381
1,2011Q2,242
1,2012Q3,267
0,2012Q4,65
0,2010Q1,494
1,2010Q4,10
0,2013Q3,78
0,2013Q3,214
0,2010Q1,480
0,2011Q3,479
0,2012Q3,129
0,2013Q3,200
1,2012Q3,273
0,2012Q4,71
1,2013Q2,349
1,2011Q3,19
1,2011Q4,10
0,2012Q3,78
1,2011Q1,395
1,2011Q2,256
0,2013Q4,65
0,2010Q2,225
1,2013Q2,407
0,2012Q3,50
1,2011Q4,38
1,2013Q4,94
1,2010Q3,344
1,2010Q2,157
0,2012Q2,474
1,2012Q3,89
1,2010Q3,25
0,2011Q2,124
0,2011Q3,337
0,2012Q4,380
0,2013Q3,44
0,2011Q3,451
0,2012Q2,312
1,2012Q4,80
0,2013Q3,228
0,2012Q3,101
1,2013Q4,495
1,2010Q3,422
1,2013Q3,172
1,2011Q3,31
1,2013Q2,361
0,2012Q4,59
1,2013Q3,89
1,2010Q3,436
1,2013Q4,481
1,2013Q3,166
1,2011Q3,25
1,2013Q2,375
0,2013Q3,50
1,2010Q4,38
0,2011Q3,445
0,2012Q2,306
1,2012Q4,94
0,2012Q3,115
0,2012Q2,460
0,2010Q2,219
1,2010Q3,31
0,2011Q2,130
0,2013Q4,59
0,2012Q4,394
0,2011Q3,323
1,2013Q2,413
0,2012Q3,44
1,2013Q4,80
1,2010Q3,350
1,2010Q2,143
1,2011Q4,401
0,2011Q1,12
1,2013Q4,278
1,2011Q1,236
1,2012Q4,151
0,2010Q4,472
0,2010Q1,245
0,2013Q4,122
1,2013Q1,67
0,2010Q3,195
0,2010Q2,386
0,2010Q4,314
0,2012Q2,299
1,2011Q2,493
1,2013Q1,329
1,2011Q4,367
1,2012Q1,73
1,2011Q2,487
1,2012Q1,67
1,2011Q4,373
0,2010Q1,12
0,2010Q4,300
0,2012Q1,428
0,2010Q4,466
0,2010Q1,251
0,2010Q3,181
0,2011Q1,178
1,2013Q1,73
0,2013Q4,136
0,2010Q2,392
1,2011Q4,415
1,2011Q1,222
1,2012Q4,145
0,2012Q1,400
0,2011Q1,150
0,2011Q3,280
0,2010Q1,279
0,2012Q4,237
1,2013Q1,473
0,2013Q1,82
1,2010Q1,123
1,2013Q4,244
1,2013Q1,315
0,2010Q4,328
0,2012Q1,366
0,2012Q1,96
0,2012Q1,372
0,2013Q2,198
0,2012Q1,82
1,2013Q1,301
1,2011Q4,429
1,2013Q1,467
0,2013Q1,96
1,2012Q4,179
1,2010Q1,137
1,2013Q4,250
0,2012Q1,414
0,2011Q1,144
0,2012Q4,223
0,2011Q3,294
0,2010Q1,286
0,2010Q3,156
0,2010Q2,345
0,2013Q3,406
1,2011Q2,336
1,2012Q4,192
1,2011Q3,125
1,2012Q3,475
1,2013Q2,229
1,2012Q2,100
1,2012Q3,313
1,2011Q2,450
0,2012Q1,399
0,2013Q3,360
0,2012Q1,69
0,2013Q2,173
0,2010Q2,423
0,2013Q3,374
0,2013Q2,167
0,2010Q2,437
1,2012Q2,114
1,2012Q3,307
1,2011Q2,444
0,2013Q1,69
1,2011Q2,322
1,2010Q3,218
1,2011Q3,131
1,2012Q4,186
1,2012Q3,461
1,2013Q1,498
0,2010Q1,292
0,2010Q3,142
0,2010Q2,351
1,2010Q4,8
0,2013Q3,412
0,2013Q1,41
1,2011Q3,119
1,2010Q3,230
1,2013Q4,287
1,2012Q3,449
0,2011Q1,193
1,2013Q1,98
0,2011Q3,243
0,2010Q2,379
0,2012Q2,500
1,2011Q1,34
0,2012Q2,266
0,2012Q1,55
1,2013Q2,215
1,2011Q4,398
1,2010Q1,20
1,2012Q2,128
1,2013Q2,201
1,2012Q1,98
1,2010Q1,34
1,2011Q2,478
0,2013Q3,348
0,2012Q1,41
0,2012Q2,272
0,2011Q1,187
0,2011Q3,257
0,2010Q4,499
1,2011Q1,20
0,2013Q1,55
1,2013Q4,293
1,2010Q3,224
1,2011Q4,165
1,2012Q1,202
1,2012Q4,435
1,2011Q3,482
0,2012Q1,158
0,2010Q4,116
0,2013Q1,271
0,2012Q3,288
0,2011Q1,408
0,2013Q4,446
0,2010Q2,184
0,2010Q3,397
0,2013Q4,320
1,2012Q4,353
1,2010Q1,309
1,2012Q4,347
0,2013Q3,9
0,2010Q2,190
0,2013Q4,334
0,2010Q3,383
0,2010Q4,102
0,2013Q1,265
0,2013Q4,452
1,2011Q4,171
1,2010Q4,258
1,2012Q1,216
1,2011Q3,496
1,2012Q4,421
0,2011Q4,203
0,2012Q1,164
0,2011Q2,43
0,2011Q1,434
1,2010Q4,270
1,2011Q4,159
1,2013Q1,117
1,2013Q2,36
1,2012Q4,409
1,2010Q1,447
1,2010Q1,321
0,2010Q2,57
0,2011Q2,291
1,2012Q2,22
0,2011Q1,352
1,2012Q2,36
0,2011Q2,285
0,2013Q4,308
0,2011Q1,346
1,2010Q1,335
0,2010Q2,43
1,2010Q4,264
1,2013Q1,103
1,2013Q2,22
1,2010Q1,453
0,2013Q1,259
0,2011Q4,217
0,2012Q1,170
0,2013Q3,189
0,2011Q2,57
0,2011Q1,420
0,2013Q4,485
0,2010Q3,432
0,2013Q2,371
0,2013Q2,10
0,2013Q3,162
1,2011Q2,65
1,2011Q3,441
1,2012Q3,111
1,2013Q3,238
1,2012Q2,302
1,2012Q2,464
1,2011Q3,327
1,2012Q4,390
1,2011Q2,134
0,2013Q2,417
1,2010Q2,71
0,2010Q2,147
0,2010Q3,354
1,2010Q2,65
0,2013Q2,403
0,2010Q2,153
0,2010Q3,340
1,2012Q2,470
0,2010Q2,9
0,2012Q2,10
1,2012Q4,384
1,2011Q3,333
1,2011Q2,120
1,2010Q2,209
1,2011Q2,71
1,2011Q3,455
1,2012Q3,105
1,2012Q2,316
0,2010Q3,426
0,2013Q4,491
0,2013Q2,365
0,2013Q3,176
1,2011Q2,59
1,2010Q1,484
1,2013Q3,204
0,2011Q2,80
0,2012Q3,277
0,2011Q2,252
0,2010Q3,368
0,2011Q1,391
1,2012Q2,458
0,2010Q2,94
0,2012Q2,38
1,2010Q2,221
1,2011Q2,108
0,2010Q2,80
1,2010Q2,235
1,2010Q2,59
0,2011Q2,246
0,2011Q1,385
0,2011Q2,94
0,2013Q2,359
0,2012Q3,263
0,2013Q2,38
1,2010Q1,490
1,2011Q3,469
1,2013Q3,210
1,2012Q3,139
0,2010Q2,134
0,2010Q3,327
0,2013Q4,390
0,2013Q2,464
0,2012Q2,77
1,2011Q3,354
1,2011Q2,147
1,2012Q2,417
1,2012Q3,162
1,2012Q2,371
1,2011Q2,16
1,2012Q4,485
1,2011Q3,432
0,2013Q2,302
0,2013Q3,111
0,2013Q2,63
0,2012Q3,238
0,2010Q3,441
0,2013Q2,316
0,2013Q2,77
0,2013Q3,105
0,2010Q3,455
1,2012Q3,176
1,2012Q2,365
1,2011Q3,426
1,2012Q4,491
1,2011Q3,340
0,2012Q2,63
1,2011Q2,153
1,2012Q2,403
0,2010Q2,120
0,2011Q2,209
0,2013Q4,384
0,2010Q3,333
0,2013Q2,470
1,2010Q2,16
1,2010Q1,391
1,2011Q3,368
1,2010Q2,252
0,2011Q2,221
1,2012Q2,92
0,2010Q2,108
0,2013Q2,458
0,2012Q3,204
0,2011Q1,484
1,2013Q3,277
1,2013Q2,86
1,2013Q3,263
1,2013Q2,92
1,2012Q2,359
0,2012Q3,210
0,2013Q3,139
0,2010Q3,469
0,2011Q1,490
1,2012Q2,86
0,2011Q2,235
1,2010Q1,385
1,2010Q2,246
0,2010Q2,18
1,2011Q3,397
1,2012Q4,320
1,2011Q2,184
0,2013Q4,353
0,2013Q4,435
0,2010Q3,482
0,2010Q4,165
0,2013Q1,202
1,2010Q1,408
1,2012Q4,446
1,2013Q1,158
0,2013Q4,8
1,2011Q4,116
1,2013Q3,288
1,2012Q1,271
1,2013Q2,79
1,2012Q4,452
1,2011Q4,102
1,2012Q1,265
0,2010Q3,496
0,2013Q4,421
0,2011Q2,18
0,2010Q4,171
0,2011Q4,258
0,2013Q1,216
1,2012Q2,79
0,2011Q1,309
0,2013Q4,347
1,2012Q4,334
1,2011Q3,383
1,2011Q2,190
1,2012Q2,51
0,2011Q1,321
0,2010Q2,24
1,2010Q1,352
0,2012Q2,88
1,2010Q2,291
1,2010Q1,434
1,2010Q4,203
1,2013Q1,164
1,2013Q2,45
0,2011Q2,30
0,2013Q4,409
0,2011Q1,447
0,2011Q4,270
0,2010Q4,159
0,2012Q1,117
0,2011Q2,24
0,2011Q1,453
0,2011Q4,264
0,2012Q1,103
0,2013Q2,88
1,2010Q1,420
1,2012Q1,259
1,2010Q4,217
1,2012Q3,189
1,2013Q1,170
1,2013Q2,51
0,2010Q2,30
1,2012Q4,308
1,2010Q1,346
1,2010Q2,285
1,2012Q2,45
0,2011Q1,335
0,2010Q2,450
1,2010Q3,9
0,2013Q3,313
0,2012Q2,229
0,2013Q2,100
1,2011Q2,423
1,2012Q2,173
1,2012Q3,360
1,2013Q1,399
1,2012Q3,406
1,2011Q2,345
1,2011Q1,286
1,2011Q3,156
0,2013Q3,475
0,2013Q4,192
0,2010Q3,125
0,2010Q2,336
0,2012Q1,498
0,2013Q3,461
0,2011Q3,218
0,2010Q3,131
0,2013Q4,186
0,2010Q2,322
1,2012Q3,412
1,2011Q2,351
1,2011Q1,292
1,2011Q3,142
1,2011Q2,437
1,2012Q2,167
1,2012Q3,374
0,2010Q2,444
0,2013Q3,307
0,2013Q2,114
1,2010Q1,53
1,2013Q2,266
0,2010Q4,398
0,2012Q1,26
0,2012Q2,215
0,2013Q3,449
1,2011Q1,47
0,2010Q3,119
0,2011Q3,230
0,2012Q4,287
1,2013Q2,500
1,2011Q2,379
0,2013Q1,32
1,2010Q1,193
1,2010Q3,243
1,2011Q4,499
0,2013Q1,26
1,2010Q1,187
1,2010Q3,257
1,2011Q1,53
0,2012Q4,293
0,2011Q3,224
0,2010Q2,478
0,2013Q2,128
0,2012Q2,201
0,2012Q1,32
1,2010Q1,47
1,2013Q2,272
1,2012Q3,348
1,2013Q2,299
1,2011Q4,314
0,2012Q1,329
0,2010Q4,367
1,2013Q2,9
0,2010Q1,75
0,2010Q2,493
0,2012Q4,278
0,2010Q1,236
1,2013Q1,14
0,2013Q4,151
0,2010Q4,401
1,2011Q2,386
1,2011Q1,245
1,2012Q4,122
1,2011Q3,195
1,2011Q4,472
0,2011Q1,61
1,2011Q2,392
1,2011Q1,251
1,2010Q1,178
1,2011Q3,181
1,2012Q4,136
1,2013Q1,428
1,2011Q4,466
0,2011Q1,75
0,2010Q1,222
0,2013Q4,145
0,2010Q4,415
0,2010Q4,373
0,2010Q2,487
0,2010Q1,61
1,2011Q4,300
1,2012Q1,14
0,2012Q1,315
0,2010Q1,49
1,2011Q4,328
1,2013Q1,366
1,2010Q1,90
1,2010Q1,150
1,2011Q1,279
1,2010Q3,280
1,2013Q4,237
1,2013Q1,400
0,2011Q1,123
1,2013Q1,28
0,2012Q4,244
0,2012Q1,473
1,2011Q1,84
0,2013Q4,179
0,2011Q1,137
0,2012Q4,250
0,2010Q4,429
0,2012Q1,467
1,2011Q1,90
1,2010Q1,144
1,2013Q4,223
1,2010Q3,294
1,2013Q1,414
0,2011Q1,49
1,2012Q2,198
1,2013Q1,372
1,2012Q1,28
1,2010Q1,84
0,2012Q1,301
0,2013Q3,267
1,2010Q4,63
1,2012Q3,214
0,2012Q4,16
1,2011Q1,494
1,2010Q2,118
1,2011Q2,231
1,2013Q2,448
1,2011Q4,77
0,2010Q2,242
0,2010Q1,381
0,2011Q3,378
0,2013Q4,16
0,2010Q2,256
0,2010Q1,395
1,2011Q2,225
1,2011Q4,63
1,2013Q3,129
1,2012Q3,200
1,2010Q3,479
1,2011Q1,480
0,2012Q2,349
0,2013Q3,273
1,2010Q4,77
1,2012Q3,228
1,2013Q3,101
1,2011Q3,42
1,2013Q2,312
0,2010Q4,86
1,2010Q3,451
0,2012Q2,361
0,2012Q3,172
0,2013Q3,37
0,2012Q4,495
0,2011Q3,422
1,2010Q3,56
0,2011Q2,157
0,2011Q3,344
0,2011Q4,92
0,2012Q2,407
1,2010Q3,337
1,2013Q4,380
1,2010Q2,124
1,2013Q2,474
0,2012Q3,23
1,2013Q4,394
1,2010Q3,323
1,2011Q2,219
1,2010Q2,130
1,2013Q2,460
0,2012Q3,37
1,2010Q3,42
0,2011Q2,143
0,2011Q3,350
0,2011Q4,86
0,2012Q2,413
0,2012Q2,375
0,2012Q3,166
0,2013Q3,23
0,2011Q3,436
0,2012Q4,481
1,2013Q3,115
1,2011Q3,56
1,2013Q2,306
0,2010Q4,92
1,2010Q3,445
1,2013Q3,11
0,2010Q4,79
1,2013Q4,419
1,2011Q1,457
1,2010Q4,149
1,2012Q1,107
1,2011Q4,260
0,2010Q1,424
0,2011Q3,64
0,2013Q1,174
0,2010Q4,213
0,2010Q2,281
0,2010Q1,342
0,2010Q3,70
1,2011Q1,331
1,2013Q4,18
1,2011Q1,325
0,2010Q3,64
1,2012Q3,11
0,2011Q4,79
0,2010Q2,295
0,2012Q4,318
0,2010Q1,356
0,2010Q1,430
0,2012Q3,199
0,2013Q1,160
0,2011Q3,70
0,2012Q1,249
0,2010Q4,207
1,2012Q4,18
1,2011Q1,443
1,2012Q1,113
1,2011Q4,274
0,2010Q1,418
0,2012Q4,456
1,2012Q4,30
0,2013Q3,298
0,2012Q1,261
0,2013Q1,148
0,2011Q3,58
0,2011Q4,106
0,2010Q4,45
1,2013Q4,425
1,2010Q3,492
1,2013Q1,212
1,2010Q4,175
1,2011Q3,81
1,2011Q4,88
1,2013Q4,24
1,2013Q4,343
0,2011Q4,51
1,2012Q3,39
1,2010Q3,95
0,2011Q2,194
0,2011Q3,387
0,2012Q4,330
0,2011Q4,45
1,2010Q3,81
0,2011Q2,180
0,2012Q4,324
0,2011Q3,393
1,2013Q4,30
1,2011Q1,319
0,2010Q3,58
1,2013Q4,357
0,2010Q4,51
1,2013Q3,39
1,2010Q3,486
1,2013Q4,431
1,2011Q4,248
1,2013Q1,206
1,2010Q4,161
1,2011Q3,95
0,2012Q4,442
1,2010Q4,88
0,2012Q1,275
1,2012Q4,24
0,2011Q4,112
0,2010Q3,253
0,2010Q1,183
0,2011Q2,369
1,2013Q3,459
0,2011Q1,9
1,2011Q3,220
1,2012Q4,297
1,2010Q3,109
1,2012Q2,205
1,2010Q4,388
0,2013Q2,276
0,2012Q3,358
0,2013Q2,262
1,2010Q2,468
1,2012Q2,211
1,2013Q2,138
1,2012Q4,283
1,2011Q3,234
0,2011Q4,489
0,2010Q3,247
0,2010Q1,197
1,2013Q3,465
1,2010Q2,326
1,2013Q4,182
1,2010Q3,135
0,2012Q3,416
0,2011Q3,146
0,2011Q1,296
0,2011Q2,355
0,2011Q2,433
0,2012Q3,370
0,2013Q1,389
0,2012Q2,163
1,2010Q2,440
1,2013Q2,110
1,2012Q2,239
1,2013Q3,303
1,2010Q2,454
1,2013Q2,104
1,2013Q3,317
0,2011Q2,427
0,2012Q3,364
0,2012Q2,177
0,2012Q3,402
0,2011Q3,152
0,2011Q1,282
0,2011Q2,341
1,2012Q1,488
1,2013Q3,471
1,2010Q2,332
1,2010Q3,121
1,2013Q4,196
1,2011Q3,208
1,2012Q4,254
1,2011Q1,133
1,2012Q1,463
0,2011Q1,269
0,2010Q3,290
0,2013Q4,227
0,2010Q1,140
0,2013Q1,410
0,2011Q4,338
0,2013Q1,376
1,2012Q1,305
1,2012Q1,311
0,2013Q1,362
0,2012Q2,188
0,2013Q4,233
0,2010Q3,284
0,2010Q1,154
0,2013Q1,404
1,2012Q4,240
1,2013Q4,169
1,2011Q1,127
1,2010Q4,439
1,2012Q1,477
0,2012Q4,132
0,2011Q3,185
0,2011Q1,255
0,2011Q2,396
0,2011Q4,462
1,2013Q4,141
1,2012Q4,268
1,2010Q1,226
1,2010Q4,411
1,2012Q1,339
1,2010Q4,377
1,2010Q2,483
0,2011Q4,304
0,2013Q2,289
0,2011Q4,310
1,2010Q4,363
1,2010Q2,497
1,2013Q4,155
1,2010Q1,232
1,2010Q4,405
0,2010Q1,168
0,2011Q3,191
0,2012Q4,126
0,2011Q1,241
0,2011Q2,382
0,2013Q1,438
0,2011Q4,476
1,2010Q2,496
1,2010Q4,362
0,2011Q4,311
0,2013Q1,439
0,2011Q4,477
0,2011Q2,383
0,2011Q1,240
0,2011Q3,190
0,2010Q1,169
0,2012Q4,127
1,2010Q4,404
1,2010Q1,233
1,2013Q4,154
1,2010Q4,410
1,2012Q4,269
1,2010Q1,227
1,2013Q4,140
0,2011Q4,463
0,2011Q2,397
0,2011Q1,254
0,2012Q4,133
0,2011Q3,184
0,2013Q2,288
0,2011Q4,305
1,2010Q2,482
1,2012Q1,338
1,2010Q4,376
0,2012Q2,189
0,2013Q1,363
1,2012Q1,310
1,2010Q4,438
1,2012Q1,476
1,2013Q4,168
1,2011Q1,126
1,2012Q4,241
0,2013Q1,405
0,2010Q1,155
0,2013Q4,232
0,2010Q3,285
0,2013Q1,411
0,2010Q1,141
0,2010Q3,291
0,2011Q1,268
0,2013Q4,226
1,2012Q1,462
1,2011Q1,132
1,2012Q4,255
1,2012Q1,304
0,2011Q4,339
0,2013Q1,377
0,2012Q2,176
0,2012Q3,365
0,2011Q2,426
1,2013Q3,316
1,2013Q2,105
1,2010Q2,455
1,2011Q3,209
1,2010Q3,120
1,2013Q4,197
1,2010Q2,333
1,2013Q3,470
1,2012Q1,489
0,2011Q2,340
0,2011Q1,283
0,2011Q3,153
0,2012Q3,403
0,2011Q2,354
0,2011Q1,297
0,2011Q3,147
0,2012Q3,417
1,2013Q4,183
1,2010Q3,134
1,2010Q2,327
1,2013Q3,464
1,2013Q3,302
1,2012Q2,238
1,2013Q2,111
1,2010Q2,441
0,2012Q2,162
0,2013Q1,388
0,2012Q3,371
0,2011Q2,432
1,2013Q2,139
1,2012Q2,210
1,2010Q2,469
0,2013Q2,263
0,2012Q3,359
0,2010Q1,196
0,2010Q3,246
0,2011Q4,488
1,2012Q4,282
1,2011Q3,235
1,2010Q3,108
1,2011Q3,221
1,2012Q4,296
0,2011Q1,8
1,2013Q3,458
0,2011Q2,368
0,2010Q1,182
0,2010Q3,252
0,2013Q2,277
1,2010Q4,389
1,2012Q2,204
0,2010Q3,59
1,2011Q1,318
1,2013Q4,356
1,2013Q4,31
0,2012Q4,325
0,2011Q3,392
0,2011Q2,181
1,2010Q3,80
0,2011Q4,44
0,2011Q4,113
0,2012Q1,274
1,2012Q4,25
1,2010Q4,89
0,2012Q4,443
1,2011Q3,94
1,2010Q4,160
1,2011Q4,249
1,2013Q1,207
1,2010Q3,487
1,2013Q4,430
1,2013Q3,38
0,2010Q4,50
1,2011Q3,80
1,2010Q4,174
1,2013Q1,213
1,2013Q4,424
1,2010Q3,493
0,2010Q4,44
0,2011Q3,59
0,2013Q1,149
0,2011Q4,107
1,2012Q4,31
0,2012Q1,260
0,2013Q3,299
0,2010Q1,419
0,2012Q4,457
0,2011Q3,386
0,2012Q4,331
0,2011Q2,195
1,2010Q3,94
1,2012Q3,38
0,2011Q4,50
1,2013Q4,342
1,2013Q4,25
1,2011Q4,89
0,2012Q4,319
0,2010Q1,357
0,2010Q2,294
0,2011Q4,78
1,2012Q3,10
0,2010Q3,65
1,2011Q1,324
1,2011Q4,275
1,2012Q1,112
1,2011Q1,442
0,2012Q1,248
1,2012Q4,19
0,2010Q4,206
0,2011Q3,71
0,2013Q1,161
0,2012Q3,198
0,2010Q1,431
0,2010Q4,212
0,2013Q1,175
0,2011Q3,65
0,2010Q1,425
1,2011Q4,261
1,2010Q4,148
1,2012Q1,106
1,2013Q4,418
1,2011Q1,456
0,2010Q4,78
1,2013Q3,10
1,2013Q4,19
1,2011Q1,330
0,2010Q3,71
0,2010Q1,343
0,2010Q2,280
0,2012Q2,412
0,2011Q4,87
0,2011Q3,351
0,2011Q2,142
1,2010Q3,43
0,2012Q3,36
1,2013Q2,461
1,2010Q2,131
1,2011Q2,218
1,2013Q4,395
1,2010Q3,322
1,2010Q3,444
0,2010Q4,93
1,2013Q2,307
1,2011Q3,57
1,2013Q3,114
0,2011Q3,437
0,2012Q4,480
0,2013Q3,22
0,2012Q3,167
0,2012Q2,374
0,2012Q4,494
0,2011Q3,423
0,2013Q3,36
0,2012Q3,173
0,2012Q2,360
1,2010Q3,450
0,2010Q4,87
1,2013Q2,313
1,2011Q3,43
1,2013Q3,100
1,2012Q3,229
0,2012Q3,22
1,2013Q2,475
1,2010Q2,125
1,2010Q3,336
1,2013Q4,381
0,2012Q2,406
0,2011Q4,93
0,2011Q3,345
0,2011Q2,156
1,2010Q3,57
1,2011Q4,62
1,2011Q2,224
0,2010Q1,394
0,2010Q2,257
0,2013Q4,17
1,2010Q4,76
0,2013Q3,272
0,2012Q2,348
1,2011Q1,481
1,2010Q3,478
1,2012Q3,201
1,2013Q3,128
1,2011Q1,495
0,2012Q4,17
1,2012Q3,215
1,2010Q4,62
0,2013Q3,266
0,2013Q3,500
0,2011Q3,379
0,2010Q1,380
0,2010Q2,243
1,2011Q4,76
1,2013Q2,449
1,2011Q2,230
1,2010Q2,119
0,2011Q1,48
1,2013Q1,415
1,2013Q4,222
1,2010Q3,295
1,2010Q1,145
1,2011Q1,91
0,2010Q4,428
0,2012Q1,466
0,2012Q4,251
0,2013Q4,178
0,2011Q1,136
0,2012Q1,300
1,2010Q1,85
1,2013Q1,373
1,2012Q1,29
1,2012Q2,199
1,2010Q1,91
1,2011Q4,329
1,2013Q1,367
0,2010Q1,48
0,2012Q1,314
1,2011Q1,85
0,2012Q1,472
0,2012Q4,245
0,2011Q1,122
1,2013Q1,29
1,2013Q1,401
1,2010Q3,281
1,2011Q1,278
1,2013Q4,236
1,2010Q1,151
0,2010Q4,414
0,2013Q4,144
0,2010Q1,223
0,2011Q1,74
1,2013Q1,429
1,2011Q4,467
1,2011Q3,180
1,2010Q1,179
1,2012Q4,137
1,2011Q1,250
1,2011Q2,393
1,2012Q1,15
1,2011Q4,301
0,2010Q2,486
0,2010Q1,60
0,2010Q4,372
0,2010Q1,74
0,2010Q2,492
1,2013Q2,8
0,2012Q1,328
0,2010Q4,366
1,2011Q4,315
1,2013Q2,298
0,2011Q1,60
1,2011Q4,473
1,2012Q4,123
1,2011Q3,194
1,2011Q1,244
1,2011Q2,387
0,2010Q4,400
0,2013Q4,150
1,2013Q1,15
0,2012Q4,279
0,2010Q1,237
0,2012Q4,292
0,2011Q3,225
1,2011Q1,52
1,2010Q3,256
1,2010Q1,186
0,2013Q1,27
1,2011Q4,498
1,2012Q3,349
1,2013Q2,273
1,2010Q1,46
0,2012Q2,200
0,2012Q1,33
0,2013Q2,129
0,2010Q2,479
0,2012Q1,27
0,2012Q2,214
0,2010Q4,399
1,2013Q2,267
1,2010Q1,52
1,2010Q3,242
1,2010Q1,192
0,2013Q1,33
1,2011Q2,378
0,2011Q3,231
0,2012Q4,286
0,2010Q3,118
1,2011Q1,46
0,2013Q3,448
1,2011Q3,143
1,2011Q1,293
1,2011Q2,350
1,2012Q3,413
0,2010Q2,323
0,2010Q3,130
0,2013Q4,187
0,2011Q3,219
0,2013Q3,460
0,2012Q1,499
0,2013Q2,115
0,2013Q3,306
0,2010Q2,445
1,2012Q3,375
1,2012Q2,166
1,2011Q2,436
1,2013Q1,398
1,2012Q3,361
1,2012Q2,172
1,2011Q2,422
0,2013Q2,101
0,2012Q2,228
0,2013Q3,312
1,2010Q3,8
0,2010Q2,451
0,2010Q2,337
0,2013Q4,193
0,2010Q3,124
0,2013Q3,474
1,2011Q3,157
1,2011Q1,287
1,2011Q2,344
1,2012Q3,407
1,2013Q2,50
1,2013Q1,171
1,2012Q3,188
1,2012Q1,258
1,2010Q4,216
1,2010Q1,421
0,2012Q1,102
0,2013Q2,89
0,2011Q4,265
0,2011Q1,452
0,2011Q2,25
0,2011Q1,334
1,2012Q2,44
1,2010Q2,284
1,2012Q4,309
1,2010Q1,347
0,2010Q2,31
1,2010Q2,290
1,2010Q1,353
0,2012Q2,89
0,2010Q2,25
0,2011Q1,320
1,2012Q2,50
0,2010Q4,158
0,2012Q1,116
0,2011Q4,271
0,2013Q4,408
0,2011Q1,446
0,2011Q2,31
1,2013Q2,44
1,2013Q1,165
1,2010Q4,202
1,2010Q1,435
0,2011Q4,259
0,2013Q1,217
0,2010Q4,170
0,2011Q2,19
0,2010Q3,497
0,2013Q4,420
1,2012Q1,264
1,2011Q4,103
1,2012Q4,453
1,2011Q2,191
1,2012Q4,335
1,2011Q3,382
0,2011Q1,308
0,2013Q4,346
1,2012Q2,78
0,2013Q4,352
1,2011Q2,185
1,2011Q3,396
1,2012Q4,321
0,2010Q2,19
1,2013Q2,78
1,2012Q1,270
1,2013Q3,289
0,2013Q4,9
1,2013Q1,159
1,2011Q4,117
1,2010Q1,409
1,2012Q4,447
0,2013Q1,203
0,2010Q4,164
0,2013Q4,434
0,2010Q3,483
0,2011Q1,491
0,2010Q3,468
0,2013Q3,138
0,2012Q3,211
1,2012Q2,358
1,2013Q2,93
1,2013Q3,262
1,2010Q2,247
1,2010Q1,384
1,2012Q2,87
0,2011Q2,234
0,2013Q2,459
0,2010Q2,109
0,2011Q2,220
1,2012Q2,93
1,2010Q2,253
1,2011Q3,369
1,2010Q1,390
1,2013Q2,87
1,2013Q3,276
0,2011Q1,485
0,2012Q3,205
1,2011Q3,427
1,2012Q4,490
1,2012Q2,364
1,2012Q3,177
0,2010Q3,454
0,2013Q2,76
0,2013Q3,104
0,2013Q2,317
0,2013Q2,471
1,2010Q2,17
0,2013Q4,385
0,2010Q3,332
0,2011Q2,208
0,2010Q2,121
1,2012Q2,402
1,2011Q2,152
1,2011Q3,341
0,2012Q2,62
1,2012Q2,416
1,2011Q2,146
0,2012Q2,76
1,2011Q3,355
0,2013Q2,465
0,2010Q3,326
0,2013Q4,391
0,2010Q2,135
0,2010Q3,440
0,2012Q3,239
0,2013Q3,110
0,2013Q2,62
0,2013Q2,303
1,2012Q4,484
1,2011Q3,433
1,2011Q2,17
1,2012Q2,370
1,2012Q3,163
0,2012Q2,60
1,2011Q3,343
1,2010Q2,279
1,2011Q2,150
1,2012Q2,400
0,2010Q2,123
0,2010Q3,330
0,2013Q4,387
1,2010Q2,15
0,2013Q2,473
0,2013Q2,315
0,2011Q4,298
0,2013Q3,106
0,2013Q2,74
0,2010Q3,456
1,2012Q3,175
1,2012Q2,366
1,2012Q4,492
1,2011Q3,425
1,2013Q3,248
1,2012Q3,161
1,2013Q1,198
1,2012Q2,372
1,2011Q2,15
1,2011Q3,431
1,2012Q4,486
0,2013Q2,301
1,2010Q1,8
0,2013Q2,60
0,2013Q3,112
0,2010Q3,442
0,2010Q2,137
0,2013Q4,393
0,2010Q3,324
0,2013Q2,467
1,2011Q3,357
0,2012Q2,74
1,2011Q2,144
1,2012Q2,414
0,2011Q2,236
1,2012Q2,85
1,2010Q2,29
1,2010Q1,386
1,2010Q2,245
1,2012Q3,149
1,2013Q3,260
1,2012Q1,299
1,2013Q2,91
1,2011Q3,419
0,2013Q2,329
0,2013Q2,48
0,2012Q3,213
0,2011Q1,493
0,2010Q4,199
0,2012Q3,207
0,2011Q1,487
1,2013Q3,274
1,2013Q2,85
1,2011Q2,29
1,2010Q1,392
0,2012Q2,48
1,2011Q2,178
1,2010Q2,251
1,2012Q2,428
